         14553892 function calls (14337740 primitive calls) in 35.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.303    0.303 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/map.py:9(__init__)
   451784    0.254    0.000    0.254    0.000 {built-in method numpy.array}
    92428    0.038    0.000    0.245    0.000 <__array_function__ internals>:2(searchsorted)
   187720    0.128    0.000    0.243    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3037(ndim)
      601    0.040    0.000    0.241    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/interp_splines.py:6(interp_splines)
   385683    0.065    0.000    0.240    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:16(asarray)
      600    0.003    0.000    0.233    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:102(LocalPathViz)
      600    0.042    0.000    0.230    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:109(Path)
     2401    0.051    0.000    0.229    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/helper_funcs/src/get_s_coord.py:8(get_s_coord)
        1    0.002    0.002    0.220    0.220 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/imp_global_traj/src/import_globtraj_csv.py:4(import_globtraj_csv)
   125076    0.183    0.000    0.219    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/message.py:341(__init__)
        1    0.000    0.000    0.217    0.217 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:822(loadtxt)
      601    0.004    0.000    0.214    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/VpForwardBackward.py:194(calc_vel_profile)
      601    0.014    0.000    0.209    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/calc_vel_profile.py:6(calc_vel_profile)
        2    0.042    0.021    0.206    0.103 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:1060(read_data)
     1533    0.006    0.000    0.201    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/quadratic_spline_interpolate.py:6(__init__)
   106099    0.047    0.000    0.198    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:55(_wrapfunc)
    92428    0.197    0.000    0.197    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_methods.py:78(_clip_dep_invoke_with_casting)
     4710    0.043    0.000    0.178    0.000 /opt/ros/noetic/lib/python3/dist-packages/visualization_msgs/msg/_Marker.py:140(__init__)
      601    0.009    0.000    0.167    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/calc_vel_profile.py:218(__solver_fb_unclosed)
        1    0.000    0.000    0.162    0.162 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/micro_lanelet_graph.py:5(__init__)
        1    0.003    0.003    0.162    0.162 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/micro_lanelet_graph.py:12(generate_micro_lanelet_graph)
    92428    0.041    0.000    0.161    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1274(searchsorted)
      432    0.031    0.000    0.158    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:221(find_nearest_idx)
     1202    0.030    0.000    0.156    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/calc_vel_profile.py:381(__solver_fb_acc_profile)
    98560    0.061    0.000    0.152    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:365(issubdtype)
     2864    0.011    0.000    0.150    0.000 <__array_function__ internals>:2(linspace)
     1201    0.007    0.000    0.142    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/msg.py:126(serialize_message)
     2402    0.097    0.000    0.140    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/helper_funcs/src/closest_path_index.py:4(closest_path_index)
   173241    0.137    0.000    0.138    0.000 {built-in method builtins.next}
     2864    0.050    0.000    0.134    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/function_base.py:26(linspace)
  1734486    0.131    0.000    0.131    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:3696(<lambda>)
   146124    0.128    0.000    0.128    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:233(euc_distance)
        1    0.000    0.000    0.127    0.127 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:8(LaneletMapViz)
      268    0.021    0.000    0.126    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:100(Bound)
        2    0.000    0.000    0.119    0.060 /usr/lib/python3.8/json/__init__.py:274(load)
     3066    0.026    0.000    0.117    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/interpolate.py:427(__init__)
        8    0.000    0.000    0.112    0.014 /usr/lib/python3.8/json/__init__.py:299(loads)
        8    0.000    0.000    0.112    0.014 /usr/lib/python3.8/json/decoder.py:332(decode)
        8    0.112    0.014    0.112    0.014 /usr/lib/python3.8/json/decoder.py:343(raw_decode)
    18420    0.027    0.000    0.109    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:1087(<listcomp>)
  1734486    0.108    0.000    0.108    0.000 {built-in method _operator.ge}
  1671109    0.105    0.000    0.105    0.000 {built-in method _operator.le}
        1    0.000    0.000    0.101    0.101 /opt/ros/noetic/lib/python3/dist-packages/rospy/impl/init.py:71(start_node)
     7355    0.008    0.000    0.100    0.000 <__array_function__ internals>:2(diff)
        1    0.000    0.000    0.099    0.099 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/Graph_LTPL.py:189(graph_init)
     5911    0.057    0.000    0.099    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:200(__init__)
     4710    0.013    0.000    0.097    0.000 /opt/ros/noetic/lib/python3/dist-packages/std_msgs/msg/_Header.py:32(__init__)
      601    0.022    0.000    0.097    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/online_graph/src/OnlineTrajectoryHandler.py:523(get_ref_idx)
        1    0.000    0.000    0.096    0.096 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/offline_graph/src/main_offline_callback.py:12(main_offline_callback)
    14130    0.011    0.000    0.093    0.000 <__array_function__ internals>:2(concatenate)
     9474    0.024    0.000    0.089    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
   439134    0.051    0.000    0.087    0.000 {built-in method builtins.isinstance}
   197120    0.058    0.000    0.085    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:293(issubclass_)
     6317    0.005    0.000    0.084    0.000 <__array_function__ internals>:2(append)
     7355    0.062    0.000    0.083    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1141(diff)
   221040    0.070    0.000    0.082    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:790(floatconv)
     1533    0.009    0.000    0.078    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/quadratic_spline_interpolate.py:11(calc_s)
     1202    0.001    0.000    0.077    0.000 <__array_function__ internals>:2(isclose)
     3609    0.003    0.000    0.076    0.000 <__array_function__ internals>:2(column_stack)
    92428    0.037    0.000    0.075    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:94(_finish_y)
    92428    0.075    0.000    0.075    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
     1571    0.004    0.000    0.074    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:200(Arrow)
     1202    0.009    0.000    0.074    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:2167(isclose)
        1    0.000    0.000    0.073    0.073 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/lanelet.py:6(__init__)
    17732    0.020    0.000    0.072    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:59(__init__)
     6317    0.014    0.000    0.070    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4640(append)
        1    0.068    0.068    0.070    0.070 {built-in method _pickle.load}
    96494    0.067    0.000    0.067    0.000 {method 'astype' of 'numpy.ndarray' objects}
      600    0.009    0.000    0.067    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:115(Line)
     3005    0.067    0.000    0.067    0.000 {function VertexSeq.select at 0x7f095611b1f0}
     1687    0.008    0.000    0.066    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:161(Line)
      601    0.052    0.000    0.065    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/calc_head_curv_an.py:6(calc_head_curv_an)
     3609    0.015    0.000    0.064    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:612(column_stack)
   184856    0.047    0.000    0.063    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_methods.py:73(_clip_dep_is_byte_swapped)
      600    0.036    0.000    0.057    0.000 /opt/ros/noetic/lib/python3/dist-packages/visualization_msgs/msg/_Marker.py:210(serialize)
     3605    0.005    0.000    0.056    0.000 <__array_function__ internals>:2(sum)
     2140    0.015    0.000    0.052    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/calc_vel_profile.py:503(calc_ax_poss)
      600    0.031    0.000    0.051    0.000 /home/kana/catkin_ws/devel/lib/python3/dist-packages/drive_msgs/msg/_NavigationData.py:70(serialize)
     1803    0.010    0.000    0.047    0.000 /usr/lib/python3.8/threading.py:341(notify)
     3605    0.008    0.000    0.046    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2092(sum)
     9474    0.046    0.000    0.046    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   100165    0.045    0.000    0.045    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    32148    0.010    0.000    0.044    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:88(asanyarray)
    18993    0.042    0.000    0.042    0.000 {built-in method posix.scandir}
   519948    0.042    0.000    0.042    0.000 {method 'append' of 'list' objects}
      684    0.001    0.000    0.042    0.000 <__array_function__ internals>:2(insert)
    11821    0.009    0.000    0.039    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:298(__init__)
      684    0.020    0.000    0.039    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:4429(insert)
     1805    0.029    0.000    0.039    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:142(__init__)
     3005    0.003    0.000    0.038    0.000 <__array_function__ internals>:2(all)
     3334    0.004    0.000    0.038    0.000 <__array_function__ internals>:2(cumsum)
     2864    0.005    0.000    0.037    0.000 <__array_function__ internals>:2(any)
    18342    0.007    0.000    0.036    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
   309992    0.035    0.000    0.035    0.000 {built-in method builtins.issubclass}
     5218    0.003    0.000    0.034    0.000 <__array_function__ internals>:2(interp)
     2403    0.003    0.000    0.034    0.000 <__array_function__ internals>:2(argpartition)
      601    0.008    0.000    0.033    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:747(init_edge_filter)
     2858    0.012    0.000    0.033    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:444(get_edge)
     1202    0.010    0.000    0.032    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:2244(within_tol)
     1803    0.032    0.000    0.032    0.000 {method 'release' of '_thread.lock' objects}
     3005    0.004    0.000    0.032    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2324(all)
    19276    0.019    0.000    0.031    0.000 /usr/lib/python3.8/posixpath.py:71(join)
     3334    0.004    0.000    0.030    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2405(cumsum)
     3066    0.003    0.000    0.030    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:55(__init__)
    92428    0.019    0.000    0.030    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/sparse/base.py:1189(isspmatrix)
    18342    0.011    0.000    0.029    0.000 {built-in method _abc._abc_instancecheck}
     2403    0.004    0.000    0.028    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:754(argpartition)
     2864    0.004    0.000    0.028    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2236(any)
     3066    0.007    0.000    0.027    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:113(_set_yi)
36841/18421    0.011    0.000    0.026    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_internal.py:875(__call__)
   375385    0.026    0.000    0.026    0.000 {built-in method builtins.setattr}
     5218    0.007    0.000    0.025    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1278(interp)
     5911    0.007    0.000    0.025    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/rostime.py:80(__init__)
    95887    0.024    0.000    0.024    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    18422    0.012    0.000    0.024    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:1048(split_line)
      601    0.006    0.000    0.023    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/conv_filt.py:4(conv_filt)
     3459    0.003    0.000    0.023    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.023    0.023 /home/kana/catkin_ws/src/mobinha-racing/planning/ros_handler.py:88(publish_map_viz)
        1    0.014    0.014    0.023    0.023 /opt/ros/noetic/lib/python3/dist-packages/visualization_msgs/msg/_MarkerArray.py:155(serialize)
208945/208943    0.021    0.000    0.021    0.000 {built-in method builtins.len}
        1    0.018    0.018    0.021    0.021 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/lanelet.py:18(__init__)
    92428    0.015    0.000    0.021    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/ma/core.py:6293(isMaskedArray)
     4802    0.016    0.000    0.021    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/helper_funcs/src/get_s_coord.py:102(angle3pt)
   116703    0.020    0.000    0.020    0.000 {built-in method builtins.getattr}
36840/18420    0.014    0.000    0.020    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/npyio.py:1031(pack_items)
     3005    0.004    0.000    0.019    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:159(ones)
     3066    0.002    0.000    0.019    0.000 <__array_function__ internals>:2(argsort)
   112389    0.019    0.000    0.019    0.000 {method 'pack' of 'Struct' objects}
     2403    0.018    0.000    0.018    0.000 {method 'argpartition' of 'numpy.ndarray' objects}
     1201    0.004    0.000    0.018    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/rostime.py:127(__init__)
   187720    0.018    0.000    0.018    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3033(_ndim_dispatcher)
18336/18334    0.005    0.000    0.018    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
     4397    0.017    0.000    0.017    0.000 {built-in method numpy.arange}
     1801    0.005    0.000    0.017    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:283(full)
     6459    0.007    0.000    0.017    0.000 <__array_function__ internals>:2(size)
     4806    0.005    0.000    0.016    0.000 <__array_function__ internals>:2(copyto)
     3459    0.004    0.000    0.016    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1693(ravel)
      600    0.003    0.000    0.016    0.000 /opt/ros/noetic/lib/python3/dist-packages/rospy/timer.py:65(_remaining)
      600    0.004    0.000    0.016    0.000 /opt/ros/noetic/lib/python3/dist-packages/genpy/rostime.py:235(__add__)
   113590    0.016    0.000    0.016    0.000 {method 'write' of '_io.BytesIO' objects}
     4710    0.010    0.000    0.016    0.000 /opt/ros/noetic/lib/python3/dist-packages/geometry_msgs/msg/_Pose.py:38(__init__)
     3066    0.005    0.000    0.016    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:105(_reshape_yi)
     2858    0.003    0.000    0.016    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:4126(__call__)
     1800    0.010    0.000    0.016    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:478(factor_edge_cost)
      602    0.001    0.000    0.016    0.000 <__array_function__ internals>:2(vstack)
     4066    0.004    0.000    0.015    0.000 <__array_function__ internals>:2(result_type)
      684    0.001    0.000    0.015    0.000 <__array_function__ internals>:2(moveaxis)
     3066    0.002    0.000    0.015    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:997(argsort)
     2864    0.005    0.000    0.015    0.000 {method 'any' of 'numpy.generic' objects}
     3066    0.003    0.000    0.014    0.000 /home/kana/.local/lib/python3.8/site-packages/scipy/interpolate/polyint.py:133(_set_dtype)
     7687    0.014    0.000    0.014    0.000 {built-in method builtins.min}
     3334    0.014    0.000    0.014    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     2404    0.006    0.000    0.014    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:39(seterr)
     1533    0.004    0.000    0.014    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:42(_wrapit)
        2    0.000    0.000    0.014    0.007 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/offline_graph/src/main_offline_callback.py:201(md5)
      700    0.001    0.000    0.014    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:113(Node)
      601    0.013    0.000    0.013    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/normalize_psi.py:6(normalize_psi)
      684    0.004    0.000    0.013    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1340(moveaxis)
18336/18334    0.013    0.000    0.013    0.000 {built-in method _abc._abc_subclasscheck}
     3066    0.002    0.000    0.013    0.000 <__array_function__ internals>:2(take)
   222367    0.013    0.000    0.013    0.000 {method 'lower' of 'str' objects}
     2858    0.008    0.000    0.013    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:3828(select)
   145897    0.013    0.000    0.013    0.000 {method 'items' of 'dict' objects}
      605    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(expand_dims)
     6692    0.012    0.000    0.012    0.000 {built-in method numpy.empty}
      707    0.012    0.000    0.012    0.000 {method 'update' of '_hashlib.HASH' objects}
      601    0.006    0.000    0.012    0.000 {method 'copy' of 'igraph.Graph' objects}
      275    0.001    0.000    0.012    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:551(__init__)
      602    0.002    0.000    0.012    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:224(vstack)
        1    0.000    0.000    0.012    0.012 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:648(get_edges)
        1    0.007    0.007    0.012    0.012 /home/kana/catkin_ws/src/mobinha-racing/planning/local_path/graph_ltpl/data_objects/GraphBase.py:658(<listcomp>)
      601    0.002    0.000    0.011    0.000 /home/kana/.local/lib/python3.8/site-packages/igraph/__init__.py:352(delete_edges)
      275    0.001    0.000    0.011    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:571(parse)
     1202    0.002    0.000    0.011    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:441(__enter__)
      700    0.002    0.000    0.011    0.000 /home/kana/catkin_ws/src/mobinha-racing/planning/hd_map/libs/map_utils.py:180(Text)
    92428    0.010    0.000    0.010    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1270(_searchsorted_dispatcher)
     3066    0.010    0.000    0.010    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     1202    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(repeat)
      605    0.004    0.000    0.010    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
      601    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(convolve)
     3005    0.002    0.000    0.010    0.000 <__array_function__ internals>:2(flipud)
     3086    0.010    0.000    0.010    0.000 {built-in method builtins.sorted}
     5218    0.003    0.000    0.010    0.000 <__array_function__ internals>:2(iscomplexobj)
     1973    0.007    0.000    0.010    0.000 /home/kana/.local/lib/python3.8/site-packages/numpy/core/numeric.py:1277(normalize_axis_tuple)
      601    0.010    0.000    0.010    0.000 /home/kana/.local/lib/python3.8/site-packages/trajectory_planning_helpers/calc_ax_profile.py:4(calc_ax_profile)
